@relation 272644L1_2-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute 'opóźnienie spłaty (dni)' numeric

@data
200,63,mężczyzna,13,1287.66,5,98,48,10
450,68,kobieta,13,1019,0,135,48,10
200,68,kobieta,13,803.86,6,160,48,2
530,62,kobieta,13,1691.3,2,75,48,7
200,41,kobieta,11,1000,1,63,48,10
500,55,kobieta,16,2300,7,65,48,0
400,50,kobieta,12,1000,6,34,0,0
400,60,mężczyzna,12,1000,6,14,0,0
600,27,kobieta,11,2100,1,25,48,0
200,54,kobieta,11,1400,6,119,48,0
500,50,mężczyzna,16,2150,0,83,48,0
618.26,65,mężczyzna,13,3040,2,203,48,2
500,67,kobieta,13,815,1,146,48,266
300,77,kobieta,13,1300,3,195,48,2
300,55,kobieta,11,2800,1,11,48,1
300,46,kobieta,11,900,6,95,48,7
278.98,38,kobieta,98,1200,6,48,48,5
400,60,kobieta,13,1107,0,17,48,0
200,62,mężczyzna,13,1162,6,223,48,0
500,62,kobieta,13,1900,0,90,48,0
300,70,mężczyzna,13,1420,0,55,48,7
272.78,59,kobieta,13,1658,6,31,48,0
700,61,kobieta,13,2066,6,131,48,6
300,54,kobieta,16,1500,1,4,48,1
512,61,mężczyzna,13,1500,6,25,48,15
200,60,kobieta,13,1635,6,122,48,0
800,55,kobieta,13,3440,6,53,48,0
774.28,33,kobieta,11,2200,2,39,48,0
300,54,kobieta,11,2800,6,62,48,0
400,60,kobieta,16,1411,3,68,48,4
399.66,39,kobieta,11,1239.05,3,206,48,13
438.12,35,mężczyzna,11,1850,1,57,48,7
300,67,mężczyzna,13,1573,1,91,48,5235
300,55,kobieta,16,2300,0,65,48,0
600,51,kobieta,11,3200,6,56,48,11
450,59,kobieta,13,1650,0,117,48,0
282.57,71,mężczyzna,13,1772.53,3,282,48,12
